Uid,Name,Longitude,Latitude,Occupants_distribution,Occupants_values,pv_density,pv_capacity_in_kW,distance_commuted_if_work_and_home_equal_distribution,distance_commuted_if_work_and_home_equal_values
20601,Brunswick - Coburg,144.95775,-37.75553,9514;11934;5722;4824;1481;582,1;2;3;4;5;6,0.131343863,3.474371612,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.4491279069767442;0.40988372093023256;0.12887596899224807;0.012112403100775194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20602,Darebin - South,145.00742,-37.76768,5933;6627;3314;3188;930;284,1;2;3;4;5;6,0.166758091,3.521232057,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.5370370370370371;0.4142300194931774;0.04580896686159844;0.0029239766081871343;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20603,Essendon,144.9142,-37.76264,7590;8179;3972;3951;1441;436,1;2;3;4;5;6,0.13287936,3.692520776,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.4986972381448671;0.4111516414799375;0.08754559666492966;0.0026055237102657635;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20604,Melbourne City,144.94829,-37.80791,20645;23073;8019;3651;1097;520,1;2;3;4;5;6,0.090242396,3.252352438,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.3421961325966851;0.3822513812154696;0.21719613259668508;0.04523480662983426;0.012085635359116022;0.0010359116022099447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20605,Port Phillip,144.95548,-37.84779,17807;17228;5404;3456;945;278,1;2;3;4;5;6,0.095939267,3.53850239,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.31526990128124344;0.31842049989498006;0.1797941608905692;0.12182314639781558;0.04578869985297206;0.01638311279143037;0.002520478890989288;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20606,Stonnington - West,145.00878,-37.84676,10883;11275;3285;2031;653;184,1;2;3;4;5;6,0.072361059,3.903092784,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.5482885085574573;0.4034229828850856;0.04828850855745721;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20607,Yarra,144.99688,-37.80139,11824;14265;5543;3570;974;371,1;2;3;4;5;6,0.102056824,3.267292912,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.42633451957295376;0.35338078291814945;0.15302491103202848;0.06370106761565836;0.0035587188612099642;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20701,Boroondara,145.063,-37.81939,14474;18561;9565;11328;4582;1342,1;2;3;4;5;6,0.122835575,3.986020096,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.274484230495613;0.3469290965141096;0.23132558691012567;0.11702632202987906;0.02774484230495613;0.002489921745316576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20702,Manningham - West,145.13481,-37.76853,6181;10421;5938;6017;2370;907,1;2;3;4;5;6,0.15059182,4.094357977,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.26955307262569833;0.33519553072625696;0.2441340782122905;0.12262569832402234;0.027094972067039105;0.0013966480446927375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20703,Whitehorse - West,145.13259,-37.82808,8984;10836;6547;6778;2533;973,1;2;3;4;5;6,0.138778469,3.657792755,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.3017973040439341;0.35971043434847727;0.2326510234648028;0.090863704443335;0.013979031452820768;0.000998502246630055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
