Uid,Name,Longitude,Latitude,Occupants_distribution,Occupants_values,pv_density,pv_capacity_in_kW
20601,Brunswick - Coburg,144.95775,-37.75553,9514;11934;5722;4824;1481;582,1;2;3;4;5;6,0.131343863,3.474371612
20602,Darebin - South,145.00742,-37.76768,5933;6627;3314;3188;930;284,1;2;3;4;5;6,0.166758091,3.521232057
20603,Essendon,144.9142,-37.76264,7590;8179;3972;3951;1441;436,1;2;3;4;5;6,0.13287936,3.692520776
20604,Melbourne City,144.94829,-37.80791,20645;23073;8019;3651;1097;520,1;2;3;4;5;6,0.090242396,3.252352438
20605,Port Phillip,144.95548,-37.84779,17807;17228;5404;3456;945;278,1;2;3;4;5;6,0.095939267,3.53850239
20606,Stonnington - West,145.00878,-37.84676,10883;11275;3285;2031;653;184,1;2;3;4;5;6,0.072361059,3.903092784
20607,Yarra,144.99688,-37.80139,11824;14265;5543;3570;974;371,1;2;3;4;5;6,0.102056824,3.267292912
20701,Boroondara,145.063,-37.81939,14474;18561;9565;11328;4582;1342,1;2;3;4;5;6,0.122835575,3.986020096
20702,Manningham - West,145.13481,-37.76853,6181;10421;5938;6017;2370;907,1;2;3;4;5;6,0.15059182,4.094357977
20703,Whitehorse - West,145.13259,-37.82808,8984;10836;6547;6778;2533;973,1;2;3;4;5;6,0.138778469,3.657792755
20801,Bayside,145.01815,-37.94184,8560;11076;5322;6894;2581;595,1;2;3;4;5;6,0.122190642,4.055352143
20802,Glen Eira,145.04451,-37.90112,14359;17008;9233;9845;3459;1168,1;2;3;4;5;6,0.117082826,3.859372097
20803,Kingston,145.10104,-37.99969,12096;14071;7154;7552;2613;732,1;2;3;4;5;6,0.170969203,3.813774834
20804,Stonnington - East,145.05527,-37.86768,4133;4883;2314;2662;1140;282,1;2;3;4;5;6,0.111091718,3.93794187
20901,Banyule,145.08513,-37.73039,10576;14357;7599;8063;2878;947,1;2;3;4;5;6,0.143130583,3.756017831
20902,Darebin - North,145.0168,-37.72128,9394;10984;5895;5177;1939;1071,1;2;3;4;5;6,0.116111731,3.506288589
20903,Nillumbik - Kinglake,145.30963,-37.56693,3103;6365;3795;5027;2099;664,1;2;3;4;5;6,0.225743564,4.096545616
20904,Whittlesea - Wallan,145.07457,-37.46463,11197;19557;13549;14772;6351;3308,1;2;3;4;5;6,0.222004954,4.28447536
21001,Keilor,144.86666,-37.73124,4494;6878;3640;3904;1501;523,1;2;3;4;5;6,0.128538698,3.789728097
21002,Macedon Ranges,144.69792,-37.39297,1710;3340;1545;2007;892;335,1;2;3;4;5;6,0.296366241,4.27708196
21003,Moreland - North,144.94275,-37.71246,6939;8164;4632;4266;1753;1105,1;2;3;4;5;6,0.10810385,3.554940251
21004,Sunbury,144.73206,-37.5663,2840;4301;2455;2533;1096;424,1;2;3;4;5;6,0.258489577,4.183616536
21005,Tullamarine - Broadmeadows,144.88129,-37.61379,7342;11624;8923;9928;5382;4158,1;2;3;4;5;6,0.254808404,4.658746045
21101,Knox,145.26051,-37.89004,10857;16499;9932;10704;4007;1661,1;2;3;4;5;6,0.219027601,3.839520874
21102,Manningham - East,145.23043,-37.75606,1266;2454;1368;1932;943;289,1;2;3;4;5;6,0.217915504,4.068587106
21103,Maroondah,145.26544,-37.80476,9615;12739;6644;6998;2782;1041,1;2;3;4;5;6,0.157424939,3.778662918
21104,Whitehorse - East,145.18787,-37.83329,4999;6800;3795;4258;1519;536,1;2;3;4;5;6,0.164441819,3.756226054
21105,Yarra Ranges,145.54986,-37.74721,10734;17188;8660;9302;4035;1726,1;2;3;4;5;6,0.207193925,3.883703137
21201,Cardinia,145.57284,-38.08296,5782;9618;5539;6011;2715;1394,1;2;3;4;5;6,0.256013856,4.312453019
21202,Casey - North,145.31216,-38.00451,7013;11837;7645;9044;3935;2360,1;2;3;4;5;6,0.271209629,4.084668923
21203,Casey - South,145.30776,-38.14399,7044;12963;9809;11572;5174;3718,1;2;3;4;5;6,0.354395076,4.621935776
21204,Dandenong,145.17979,-37.99803,12431;16688;11517;10609;5113;4018,1;2;3;4;5;6,0.179090015,4.065331503
21205,Monash,145.14562,-37.89708,11635;18140;11518;12075;4273;1814,1;2;3;4;5;6,0.172169774,3.89788124
21301,Brimbank,144.79703,-37.75188,10745;15959;11272;11181;5427;3987,1;2;3;4;5;6,0.178582042,3.628075597
21302,Hobsons Bay,144.83163,-37.8546,7697;9864;5340;5317;1874;767,1;2;3;4;5;6,0.158105198,3.455960382
21303,Maribyrnong,144.87777,-37.79527,8120;9935;5377;4660;1549;840,1;2;3;4;5;6,0.118503744,3.513813909
21304,Melton - Bacchus Marsh,144.57159,-37.68287,8111;13030;8872;10645;4667;2602,1;2;3;4;5;6,0.252191755,4.123126233
21305,Wyndham,144.61883,-37.88654,10515;17876;14694;15029;6344;4133,1;2;3;4;5;6,0.306332794,4.464388171
21401,Frankston,145.1738,-38.13461,13310;15970;8307;7789;3072;1236,1;2;3;4;5;6,0.175612382,3.680155324
21402,Mornington Peninsula,145.03533,-38.34169,15561;21094;7954;8471;3468;1239,1;2;3;4;5;6,0.189050684,3.939423463
