#SA3_CODE_2016,SA3_NAME_2016,latitude,longitude
21304,Melton - Bacchus Marsh,144.57159,-37.68287
21402,Mornington Peninsula,145.03533,-38.34169
21401,Frankston,145.17380,-38.13461
21203,Casey - South,145.30776,-38.14399
21302,Hobsons Bay,144.83163,-37.85460
21305,Wyndham,144.61883,-37.88654
21001,Keilor,144.86666,-37.73124
21301,Brimbank,144.79703,-37.75188
21303,Maribyrnong,144.87777,-37.79527
21005,Tullamarine - Broadmeadows,144.88129,-37.61379
20801,Bayside,145.01815,-37.94184
20802,Glen Eira,145.04451,-37.90112
20803,Kingston,145.10104,-37.99969
20804,Stonnington - East,145.05527,-37.86768
21204,Dandenong,145.17979,-37.99803
21205,Monash,145.14562,-37.89708
20601,Brunswick - Coburg,144.95775,-37.75553
20602,Darebin - South,145.00742,-37.76768
20603,Essendon,144.91420,-37.76264
20604,Melbourne City,144.94829,-37.80791
20605,Port Phillip,144.95548,-37.84779
20606,Stonnington - West,145.00878,-37.84676
20607,Yarra,144.99688,-37.80139
20902,Darebin - North,145.01680,-37.72128
21003,Moreland - North,144.94275,-37.71246
20701,Boroondara,145.06300,-37.81939
20702,Manningham - West,145.13481,-37.76853
20703,Whitehorse - West,145.13259,-37.82808
20901,Banyule,145.08513,-37.73039
21104,Whitehorse - East,145.18787,-37.83329
21002,Macedon Ranges,144.69792,-37.39297
21004,Sunbury,144.73206,-37.56630
20904,Whittlesea - Wallan,145.07457,-37.46463
21202,Casey - North,145.31216,-38.00451
21101,Knox,145.26051,-37.89004
21102,Manningham - East,145.23043,-37.75606
21103,Maroondah,145.26544,-37.80476
21201,Cardinia,145.57284,-38.08296
21105,Yarra Ranges,145.54986,-37.74721
20903,Nillumbik - Kinglake,145.30963,-37.56693
