#PostArea,Dwellings
3000,16671
3002,2173
3003,2089
3004,4337
3005,169
3006,8328
3008,4497
3010,12
3011,8451
3012,9811
3013,5591
3015,6462
3016,5687
3018,5129
3019,2991
3020,14707
3021,17351
3022,1077
3023,18570
3024,7400
3025,4310
3026,43
3027,1961
3028,10149
3029,27726
3030,31877
3031,7516
3032,11186
3033,5095
3034,4109
3036,2045
3037,15058
3038,8626
3039,5482
3040,9632
3041,4383
3042,6021
3043,6539
3044,9873
3045,5
3046,12204
3047,6236
3048,5111
3049,3172
3050,0
3051,5904
3052,1985
3053,8006
3054,3460
3055,5923
3056,10121
3057,5033
3058,12321
3059,4458
3060,4511
3061,1552
3062,0
3063,165
3064,20954
3065,4129
3066,3729
3067,3562
3068,7523
3070,9379
3071,7455
3072,12219
3073,18918
3074,7037
3075,7469
3076,10117
3078,4422
3079,5886
3081,4979
3082,9651
3083,10673
3084,9326
3085,4959
3086,18
3087,3379
3088,9608
3089,3787
3090,678
3091,471
3093,1391
3094,3344
3095,9181
3096,577
3097,430
3099,1600
3101,8668
3102,2288
3103,5532
3104,6662
3105,3935
3106,5447
3107,4768
3108,7862
3109,9768
3111,4130
3113,2650
3114,1126
3115,1157
3116,3355
3121,13179
3122,9706
3123,5702
3124,7612
3125,5215
3126,2690
3127,6459
3128,7459
3129,6232
3130,11414
3131,8234
3132,6088
3133,7585
3134,11592
3135,7263
3136,16350
3137,4947
3138,7424
3139,4597
3140,5951
3141,12043
3142,5437
3143,3854
3144,4154
3145,8359
3146,9160
3147,5068
3148,3098
3149,11757
3150,20216
3151,3632
3152,11251
3153,7687
3154,1510
3155,8572
3156,12995
3158,2318
3159,832
3160,3131
3161,5719
3162,6344
3163,12954
3165,9687
3166,8430
3167,3260
3168,6959
3169,6765
3170,6504
3171,6630
3172,7408
3173,7781
3174,13130
3175,17237
3177,3771
3178,10849
3179,1995
3180,2635
3181,9096
3182,10965
3183,7800
3184,7054
3185,5108
3186,8475
3187,5690
3188,6556
3189,2200
3190,4075
3191,3704
3192,8536
3193,7007
3194,5266
3195,12691
3196,9973
3197,4481
3198,6751
3199,20996
3200,2151
3201,7347
3202,930
3204,10919
3205,4856
3206,4136
3207,7074
3211,412
3212,5348
3213,1268
3214,9000
3215,7984
3216,20575
3217,2106
3218,5625
3219,8134
3220,6291
3221,230
3222,5495
3223,3116
3224,5096
3225,1605
3226,5162
3227,1653
3228,6076
3230,985
3231,479
3232,395
3233,780
3234,74
3235,140
3236,91
3237,92
3238,90
3239,165
3240,648
3241,945
3242,322
3243,136
3249,1152
3250,4697
3251,195
3254,108
3260,1867
3264,845
3265,889
3266,1143
3267,81
3268,942
3269,231
3270,103
3271,73
3272,622
3273,44
3274,86
3275,144
3276,169
3277,631
3278,105
3279,84
3280,11988
3281,523
3282,839
3283,461
3284,1307
3285,445
3286,231
3287,148
3289,299
3292,77
3293,118
3294,353
3300,4074
3301,431
3302,136
3303,118
3304,1084
3305,4943
3309,49
3310,123
3311,738
3312,393
3314,192
3315,670
3317,83
3318,518
3319,162
3321,515
3322,76
3323,35
3324,217
3325,193
3328,566
3329,101
3330,78
3331,1879
3332,317
3333,294
3334,203
3335,1830
3337,12078
3338,7750
3340,7350
3341,549
3342,1274
3345,398
3350,22479
3351,2808
3352,5263
3355,5218
3356,6413
3357,1252
3360,323
3361,257
3363,1298
3364,774
3370,732
3371,418
3373,915
3374,164
3375,72
3377,3472
3378,45
3379,286
3380,2457
3381,446
3384,223
3385,206
3387,129
3388,215
3390,375
3391,59
3392,240
3393,1067
3395,153
3396,300
3400,5932
3401,1499
3407,166
3409,374
3412,130
3413,78
3414,740
3415,18
3418,1098
3419,331
3420,93
3423,200
3424,321
3427,1003
