Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"SA3 by STRD Dwelling Structure and TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"STRD Dwelling Structure","Semi-detached, row or terrace house, townhouse etc. with two or more storeys",,,"Semi-detached, row or terrace house, townhouse etc. with one storey",,,"Separate house",,,"Total",,,
"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme",
"SA3",
"20601",677,1206,3,866,923,6,7049,5433,14,8589,7566,23,
"20602",369,672,3,697,730,0,4377,3509,5,5447,4915,14,
"20603",568,880,0,628,630,5,5092,4173,10,6287,5683,13,
"20604",1215,1308,3,571,525,0,616,439,0,2400,2275,3,
"20605",1628,1591,6,1908,1709,0,1669,1395,3,5205,4699,11,
"20606",1060,774,0,1003,710,6,2261,1295,0,4324,2772,9,
"20607",1554,1776,0,2402,2049,3,1992,1469,10,5950,5301,10,
"20701",1598,1454,3,2866,1706,5,16232,11967,42,20696,15116,47,
"20702",1191,1341,7,889,497,3,12052,6938,18,14136,8771,28,
"20703",731,1058,7,1907,1175,3,10151,8156,21,12785,10381,40,
"20801",1500,1218,3,1542,1102,0,10251,8375,4,13283,10691,16,
"20802",1344,1914,0,2524,2238,8,12395,10227,26,16264,14378,38,
"20803",1232,1966,5,2154,2253,11,9829,10769,25,13220,14989,38,
"20804",493,405,3,673,491,0,3610,2739,4,4779,3637,6,
"20901",497,918,0,1011,1036,6,14780,13079,24,16281,15037,36,
"20902",367,1140,3,953,1160,8,9386,6480,21,10706,8784,33,
"20903",60,150,0,100,59,0,7739,10140,9,7906,10348,9,
"20904",372,1110,0,1073,1751,10,17654,27593,65,19102,30456,74,
"21001",578,893,0,697,564,0,8187,5188,6,9460,6653,9,
"21002",5,5,0,127,93,0,3319,4677,4,3443,4769,4,
"21003",441,1521,8,625,776,0,7784,5748,23,8849,8044,28,
"21004",30,23,0,156,55,0,3751,6105,8,3934,6185,8,
"21005",145,529,0,453,1102,3,11239,19491,66,11838,21122,76,
"21101",282,826,3,1507,1046,7,16189,20652,40,17973,22521,53,
"21102",28,37,0,84,49,0,3472,3387,8,3585,3472,3,
"21103",117,309,0,461,650,3,12375,14902,26,12950,15864,35,
"21104",267,480,0,1050,895,9,6981,6347,9,8293,7720,17,
"21105",55,176,0,732,331,6,16637,24265,54,17423,24770,59,
"21201",50,146,0,375,375,0,7090,14650,39,7519,15179,39,
"21202",287,433,0,932,770,5,10916,17527,50,12134,18733,51,
"21203",72,341,0,856,1371,7,8639,26836,58,9567,28546,68,
"21204",315,1109,0,1453,1447,9,17034,14849,79,18800,17401,93,
"21205",581,1376,5,1216,1004,9,19676,13262,43,21477,15640,60,
"21301",415,1057,6,1052,1215,7,18567,17298,79,20027,19568,92,
"21302",860,1617,0,1240,1246,3,8357,7161,13,10458,10025,17,
"21303",738,1917,9,358,567,0,4946,5693,14,6035,8185,20,
"21304",145,604,0,832,1167,3,10227,22678,42,11205,24454,51,
"21305",280,943,6,1278,2790,14,12014,28818,61,13571,32552,72,
"21401",252,553,0,1350,1456,12,11374,17986,44,12974,19993,60,
"21402",448,358,0,1524,689,6,19833,19025,60,21805,20080,74,
"Total",22843,36149,99,42107,40400,189,385744,450735,1147,450694,527284,1435,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
