"postcode","instals","estimated_dwellings","density","capacity","capunder10","cap10_100","capover100","countunder10","count10_100","countover100","pot_kw","pot_sqm","pot_gwh"
"0800","109","196","34.7","2833.0","380.0","2209.0","244.0","68","40","1","32376.0","207,209","48.4"
"0810","3257","9972","31.9","22393.0","17040.0","3743.0","1610.0","3185","69","3","198075.0","1,267,682","297.7"
"0812","1791","6486","27.1","11336.0","9509.0","1362.0","465.0","1760","29","2","101247.0","647,978","151.9"
"0820","1082","5559","17.3","17440.0","5827.0","4760.0","6853.0","960","112","10","188975.0","1,209,440","286.2"
"0822","880","8697","8.6","15097.0","4757.0","4390.0","5950.0","751","118","11","140603.0","899,862","214.0"
"0828","225","557","32.0","3263.0","1106.0","2057.0","100.0","178","46","1","58001.0","371,208","88.4"
"0829","36","336","5.7","891.0","131.0","760.0","0.0","19","17","0","53328.0","341,300","80.8"
"0830","1930","6006","31.3","12769.0","10087.0","1734.0","948.0","1880","45","5","123408.0","789,812","185.2"
"0832","2235","6806","32.6","13734.0","12473.0","671.0","590.0","2220","12","3","86298.0","552,306","129.5"
"0834","229","821","27.3","1642.0","1544.0","98.0","0.0","224","5","0","20441.0","130,821","30.7"
"0835","487","1311","35.9","3235.0","2767.0","468.0","0.0","470","17","0","41918.0","268,277","62.9"
"0836","1158","2956","38.2","7965.0","7237.0","628.0","100.0","1130","27","1","79945.0","511,646","120.0"
"0837","60","240","23.3","569.0","365.0","204.0","0.0","56","4","0","8113.0","51,925","12.3"
"0838","118","373","29.8","927.0","714.0","213.0","0.0","111","7","0","9796.0","62,696","14.7"
"0839","23","339","4.7","729.0","97.0","334.0","298.0","16","6","1","4218.0","26,996","6.3"
"0840","113","399","28.1","699.0","688.0","11.0","0.0","112","1","0","6546.0","41,892","9.8"
"0841","67","316","19.9","715.0","426.0","289.0","0.0","63","4","0","9994.0","63,963","15.2"
"0845","71","273","21.2","593.0","275.0","318.0","0.0","58","13","0","7270.0","46,528","11.1"
"0846","43","239","16.3","292.0","200.0","92.0","0.0","39","4","0","0.0","0","0.0"
"0847","21","254","7.1","265.0","107.0","158.0","0.0","18","3","0","0.0","0","0.0"
"0850","794","3250","22.5","40387.0","3962.0","2294.0","34131.0","732","59","3","77527.0","496,170","123.1"
"0852","158","3224","3.4","3777.0","658.0","1335.0","1784.0","110","43","5","8261.0","52,870","12.8"
"0853","1","190","0.5","3.0","3.0","0.0","0.0","1","0","0","14440.0","92,418","22.8"
"0854","14","311","3.2","189.0","51.0","138.0","0.0","10","4","0","5539.0","35,452","8.7"
"0860","120","1196","9.3","697.0","543.0","154.0","0.0","111","9","0","29800.0","190,721","48.9"
"0862","33","637","3.6","366.0","118.0","248.0","0.0","23","10","0","0.0","0","0.0"
"0870","2535","8862","27.1","22115.0","10965.0","4504.0","6646.0","2398","125","12","179322.0","1,147,661","294.6"
"0872","191","5074","2.3","7252.0","570.0","1550.0","5132.0","119","58","14","734.0","4,696","1.2"
"0873","132","1698","7.4","1279.0","777.0","204.0","298.0","126","5","1","32502.0","208,015","53.1"
"0874","17","283","5.7","135.0","95.0","40.0","0.0","16","1","0","3646.0","23,336","6.0"
"0875","127","1007","12.4","815.0","690.0","125.0","0.0","125","2","0","13650.0","87,362","22.3"
"0880","24","1650","0.9","674.0","45.0","194.0","435.0","15","8","1","0.0","0","0.0"
"0885","13","348","1.1","598.0","21.0","577.0","0.0","4","9","0","0.0","0","0.0"
"0886","10","577","0.7","152.0","21.0","131.0","0.0","4","6","0","10849.0","69,436","16.6"
"2000","52","821","2.6","2194.0","82.0","1090.0","1022.0","21","28","3","56265.0","360,097","72.1"
"2007","28","288","6.9","357.0","78.0","279.0","0.0","20","8","0","16683.0","106,772","21.4"
"2008","80","1246","5.1","718.0","198.0","520.0","0.0","63","17","0","19225.0","123,041","24.7"
"2009","20","626","1.9","1303.0","41.0","307.0","955.0","12","5","3","18489.0","118,330","23.8"
"2010","172","4194","3.5","1156.0","496.0","660.0","0.0","147","25","0","55246.0","353,576","71.1"
"2011","40","1511","1.8","491.0","90.0","401.0","0.0","27","13","0","27559.0","176,379","35.7"
"2015","233","1882","8.9","3796.0","598.0","2246.0","952.0","167","62","4","111985.0","716,707","144.7"
"2016","132","2135","5.6","1008.0","411.0","313.0","284.0","120","11","1","25204.0","161,303","32.4"
"2017","71","1260","3.7","976.0","179.0","797.0","0.0","47","24","0","38899.0","248,954","50.0"
"2018","370","2724","12.5","2004.0","1382.0","622.0","0.0","341","29","0","55474.0","355,036","71.4"
"2019","354","2415","12.3","3282.0","1166.0","2116.0","0.0","298","56","0","111059.0","710,774","145.9"
"2020","346","2236","13.8","3039.0","1201.0","1288.0","550.0","308","37","1","89051.0","569,928","113.3"
"2021","217","4536","4.3","1169.0","754.0","415.0","0.0","197","20","0","40176.0","257,127","51.8"
"2022","265","2559","9.6","1375.0","975.0","400.0","0.0","246","19","0","33800.0","216,322","43.5"
"2023","240","1713","10.9","1717.0","915.0","802.0","0.0","186","54","0","32095.0","205,406","41.4"
"2024","371","2213","15.2","2332.0","1432.0","900.0","0.0","337","34","0","27898.0","178,548","35.9"
"2025","127","1730","6.8","676.0","531.0","145.0","0.0","118","9","0","20893.0","133,716","26.9"
"2026","547","3876","13.2","2666.0","2107.0","559.0","0.0","511","36","0","61928.0","396,340","79.8"
"2027","78","826","7.7","543.0","288.0","255.0","0.0","64","14","0","18381.0","117,640","23.7"
"2028","57","596","8.1","391.0","230.0","161.0","0.0","48","9","0","13647.0","87,338","17.6"
"2029","170","1325","10.9","1055.0","672.0","383.0","0.0","145","25","0","26894.0","172,120","34.6"
"2030","423","3521","10.1","2781.0","1664.0","1117.0","0.0","355","68","0","52119.0","333,559","67.3"
"2031","683","5198","12.2","3755.0","2545.0","1210.0","0.0","634","49","0","92295.0","590,691","119.1"
"2032","359","3206","10.6","1723.0","1394.0","329.0","0.0","341","18","0","41528.0","265,780","53.5"
"2033","199","1404","12.5","1566.0","773.0","418.0","375.0","175","21","3","39241.0","251,141","50.5"
"2034","448","2669","15.5","2222.0","1754.0","468.0","0.0","414","34","0","44349.0","283,832","57.1"
"2035","1105","7769","13.3","5480.0","4104.0","1376.0","0.0","1032","73","0","99434.0","636,380","128.1"
"2036","1136","6897","15.2","5919.0","4307.0","1612.0","0.0","1049","87","0","144448.0","924,466","187.8"
"2037","266","4565","5.5","1275.0","898.0","377.0","0.0","249","17","0","39238.0","251,120","50.5"
"2038","343","3018","10.9","1429.0","1196.0","233.0","0.0","330","13","0","31250.0","200,002","40.4"
"2039","249","2613","9.2","1099.0","878.0","221.0","0.0","241","8","0","24977.0","159,851","32.4"
"2040","809","7239","10.6","3902.0","2805.0","1097.0","0.0","769","40","0","82259.0","526,460","106.3"
"2041","460","4854","9.2","1783.0","1570.0","213.0","0.0","447","13","0","37098.0","237,430","47.8"
"2042","511","5640","8.6","2204.0","1655.0","549.0","0.0","487","24","0","46923.0","300,310","60.4"
"2043","131","1802","6.8","640.0","406.0","234.0","0.0","123","8","0","16899.0","108,152","21.7"
"2044","383","2734","13.0","2996.0","1231.0","775.0","990.0","355","27","1","57432.0","367,562","74.8"
"2045","277","2171","11.3","1853.0","1223.0","630.0","0.0","245","32","0","35743.0","228,753","46.0"
"2046","877","6610","12.0","4875.0","3264.0","1611.0","0.0","796","81","0","89524.0","572,951","115.6"
"2047","271","2272","11.2","1308.0","1058.0","250.0","0.0","255","16","0","34940.0","223,615","45.0"
"2048","219","2120","9.8","1155.0","776.0","379.0","0.0","207","12","0","25607.0","163,884","33.0"
"2049","338","2637","12.1","1581.0","1141.0","440.0","0.0","319","19","0","36567.0","234,029","47.1"
"2050","157","1153","11.5","1299.0","417.0","882.0","0.0","133","24","0","29015.0","185,698","37.4"
"2060","195","2357","7.0","1539.0","633.0","626.0","280.0","165","29","1","37266.0","238,500","48.1"
"2061","21","301","5.6","144.0","69.0","75.0","0.0","17","4","0","9251.0","59,204","11.9"
"2062","156","1380","10.8","747.0","628.0","119.0","0.0","149","7","0","16051.0","102,724","20.7"
"2063","377","1952","16.8","2272.0","1413.0","859.0","0.0","328","49","0","27190.0","174,013","35.0"
"2064","259","1265","16.4","2341.0","888.0","1453.0","0.0","208","51","0","50149.0","320,953","65.8"
"2065","623","4746","12.2","3187.0","2209.0","848.0","130.0","578","44","1","81120.0","519,167","104.7"
"2066","1246","6443","17.3","7086.0","4672.0","2254.0","160.0","1117","128","1","100326.0","642,085","130.0"
"2067","626","3948","14.6","3107.0","2207.0","900.0","0.0","578","48","0","74471.0","476,615","96.3"
"2068","858","5210","15.2","4578.0","3570.0","1008.0","0.0","792","66","0","66930.0","428,355","86.2"
"2069","713","4118","15.5","4009.0","2774.0","1235.0","0.0","637","76","0","67385.0","431,262","86.9"
"2070","661","3371","17.5","3697.0","2679.0","1018.0","0.0","589","72","0","57358.0","367,091","74.0"
"2071","591","3294","15.3","3454.0","2255.0","1199.0","0.0","503","88","0","54334.0","347,736","70.0"
"2072","261","1693","13.3","1640.0","946.0","694.0","0.0","225","36","0","31217.0","199,789","40.2"
"2073","800","4872","14.5","5088.0","3244.0","1364.0","480.0","708","90","2","74899.0","479,353","96.4"
"2074","1222","6518","17.0","6542.0","4767.0","1775.0","0.0","1106","116","0","104607.0","669,482","134.5"
"2075","1025","6332","14.5","5937.0","4403.0","1534.0","0.0","915","110","0","94073.0","602,068","121.2"
"2076","1177","7394","14.5","6671.0","4450.0","2048.0","173.0","1070","106","1","111816.0","715,620","144.0"
"2077","1518","7658","18.1","8965.0","5661.0","2171.0","1133.0","1388","127","3","143336.0","917,348","185.0"
"2079","522","2429","20.2","2434.0","2070.0","364.0","0.0","491","31","0","29769.0","190,524","38.3"
"2080","157","607","22.7","1107.0","569.0","538.0","0.0","138","19","0","19419.0","124,281","25.5"
"2081","550","1856","29.1","2250.0","2139.0","111.0","0.0","540","10","0","22743.0","145,553","29.4"
"2082","587","1858","30.2","2697.0","2280.0","317.0","100.0","561","25","1","23898.0","152,947","30.8"
"2083","191","858","20.5","919.0","678.0","241.0","0.0","176","15","0","11829.0","75,704","15.3"
"2084","303","1161","21.4","2089.0","1125.0","964.0","0.0","249","54","0","37406.0","239,397","48.4"
"2085","902","4213","19.9","4530.0","3291.0","1239.0","0.0","839","63","0","61073.0","390,867","78.7"
"2086","899","4340","19.4","4389.0","3440.0","949.0","0.0","842","57","0","65602.0","419,854","84.5"
"2087","863","4230","19.1","4140.0","3288.0","852.0","0.0","807","56","0","56992.0","364,751","73.5"
"2088","798","6085","11.5","4833.0","3151.0","1682.0","0.0","697","101","0","97321.0","622,852","125.4"
"2089","101","1167","7.6","651.0","363.0","288.0","0.0","89","12","0","23646.0","151,337","30.5"
"2090","206","1867","10.1","1005.0","724.0","281.0","0.0","189","17","0","28624.0","183,193","36.9"
"2092","420","2403","15.5","2462.0","1544.0","818.0","100.0","372","47","1","28914.0","185,047","37.3"
"2093","1036","6049","15.8","5564.0","4009.0","1555.0","0.0","956","80","0","76278.0","488,182","98.4"
"2094","166","1340","11.7","725.0","593.0","132.0","0.0","157","9","0","14438.0","92,405","18.6"
"2095","316","1733","16.5","1747.0","1201.0","546.0","0.0","286","30","0","42011.0","268,868","54.2"
"2096","580","2887","18.6","2755.0","2221.0","534.0","0.0","538","42","0","36039.0","230,647","46.5"
"2097","807","3911","19.6","3656.0","3017.0","639.0","0.0","768","39","0","50814.0","325,208","65.5"
"2099","1523","7866","18.0","7458.0","5711.0","1618.0","129.0","1418","104","1","121618.0","778,353","157.3"
"2100","1279","6116","18.7","7854.0","4629.0","3024.0","201.0","1141","137","1","130330.0","834,111","169.5"
"2101","877","4906","16.3","4227.0","3072.0","1155.0","0.0","802","75","0","83974.0","537,436","108.2"
"2102","498","2039","22.6","2578.0","1757.0","821.0","0.0","461","37","0","39911.0","255,431","51.7"
"2103","552","3010","16.5","3464.0","2083.0","1181.0","200.0","497","53","2","56117.0","359,147","72.7"
"2104","209","1731","10.1","1279.0","714.0","565.0","0.0","175","34","0","19304.0","123,544","24.9"
"2105","109","1000","9.7","581.0","417.0","164.0","0.0","97","12","0","7940.0","50,817","10.3"
"2106","382","2791","12.6","1816.0","1415.0","401.0","0.0","353","29","0","37801.0","241,929","48.8"
"2107","755","5130","13.5","3921.0","2961.0","960.0","0.0","695","60","0","66700.0","426,883","86.2"
"2108","109","1241","7.6","549.0","374.0","175.0","0.0","94","15","0","18828.0","120,498","24.3"
"2109","1","217","0.0","21.0","0.0","21.0","0.0","0","1","0","0.0","0","0.0"
"2110","403","2838","12.9","2138.0","1636.0","502.0","0.0","366","37","0","40698.0","260,466","52.4"
"2111","618","4116","13.4","3353.0","2280.0","1073.0","0.0","550","68","0","58567.0","374,831","75.7"
"2112","1295","8234","14.4","6858.0","4771.0","1787.0","300.0","1186","108","1","110888.0","709,680","142.7"
"2113","897","5162","15.9","6631.0","3379.0","2522.0","730.0","819","75","3","115638.0","740,082","148.8"
"2114","891","5174","16.0","4541.0","3207.0","1070.0","264.0","829","61","1","85572.0","547,658","110.8"
"2115","521","3993","12.4","2565.0","2047.0","518.0","0.0","495","26","0","40581.0","259,721","52.4"
"2116","316","2561","10.3","3598.0","1008.0","1491.0","1099.0","264","49","3","68152.0","436,175","89.7"
"2117","934","7562","11.4","4606.0","3429.0","1177.0","0.0","859","75","0","65214.0","417,369","83.9"
"2118","1548","6704","21.7","6495.0","5228.0","1267.0","0.0","1456","92","0","89403.0","572,181","115.0"
"2119","685","3747","17.1","3281.0","2701.0","580.0","0.0","639","46","0","44517.0","284,909","57.3"
"2120","1247","6811","16.7","7132.0","4791.0","2341.0","0.0","1138","109","0","87458.0","559,734","112.9"
"2121","1465","7417","18.6","6534.0","5414.0","1120.0","0.0","1382","83","0","98088.0","627,764","126.2"
"2122","1401","9686","13.6","6002.0","4624.0","1378.0","0.0","1320","81","0","100212.0","641,354","129.0"
"2125","1492","5418","25.2","7166.0","5516.0","1650.0","0.0","1364","128","0","75949.0","486,074","97.7"
"2126","1706","5911","27.3","7677.0","6327.0","1350.0","0.0","1613","93","0","74935.0","479,583","96.4"
"2127","94","1153","6.1","2002.0","304.0","1436.0","262.0","70","22","2","55536.0","355,428","71.3"
"2128","133","622","11.6","2771.0","302.0","1973.0","496.0","72","58","3","77746.0","497,576","103.1"
"2130","167","1170","13.4","855.0","631.0","124.0","100.0","157","9","1","22315.0","142,817","28.8"
"2131","487","3044","14.7","2691.0","1606.0","1085.0","0.0","448","39","0","58298.0","373,106","75.1"
"2132","402","2784","13.5","2137.0","1353.0","534.0","250.0","375","26","1","39496.0","252,775","50.9"
"2133","386","3214","11.3","1719.0","1402.0","317.0","0.0","364","22","0","36563.0","234,003","47.1"
"2134","333","2240","13.4","1827.0","1086.0","741.0","0.0","301","32","0","43842.0","280,591","56.4"
