#Hour_of_day,Hours_worked_normed
0,0.000465674
1,0.001164184
2,0.001164184
3,0.001164184
4,0.001164184
5,0.001164184
6,0.002095531
7,0.005355246
8,0.010477655
9,0.016997085
10,0.017695595
11,0.018626942
12,0.017695595
13,0.015367227
14,0.017928432
15,0.018161268
16,0.01513439
17,0.010943328
18,0.006053756
19,0.003492552
20,0.002794041
21,0.002561205
22,0.001629857
23,0.001164184
24,0.000465674
25,0.001164184
26,0.001164184
27,0.001164184
28,0.001164184
29,0.001164184
30,0.002095531
31,0.005355246
32,0.010477655
33,0.016997085
34,0.017695595
35,0.018626942
36,0.017695595
37,0.015367227
38,0.017928432
39,0.018161268
40,0.01513439
41,0.010943328
42,0.006053756
43,0.003492552
44,0.002794041
45,0.002561205
46,0.001629857
47,0.001164184
48,0.000465674
49,0.001164184
50,0.001164184
51,0.001164184
52,0.001164184
53,0.001164184
54,0.002095531
55,0.005355246
56,0.010477655
57,0.016997085
58,0.017695595
59,0.018626942
60,0.017695595
61,0.015367227
62,0.017928432
63,0.018161268
64,0.01513439
65,0.010943328
66,0.006053756
67,0.003492552
68,0.002794041
69,0.002561205
70,0.001629857
71,0.001164184
72,0.000465674
73,0.001164184
74,0.001164184
75,0.001164184
76,0.001164184
77,0.001164184
78,0.002095531
79,0.005355246
80,0.010477655
81,0.016997085
82,0.017695595
83,0.018626942
84,0.017695595
85,0.015367227
86,0.017928432
87,0.018161268
88,0.01513439
89,0.010943328
90,0.006053756
91,0.003492552
92,0.002794041
93,0.002561205
94,0.001629857
95,0.001164184
96,0.000465674
97,0.001164184
98,0.001164184
99,0.001164184
100,0.001164184
101,0.001164184
102,0.002095531
103,0.005355246
104,0.010477655
105,0.016997085
106,0.017695595
107,0.018626942
108,0.017695595
109,0.015367227
110,0.017928432
111,0.018161268
112,0.01513439
113,0.010943328
114,0.006053756
115,0.003492552
116,0.002794041
117,0.002561205
118,0.001629857
119,0.001164184
120,0.00027057
121,0.000347875
122,0.000347875
123,0.000347875
124,0.000347875
125,0.000347875
126,0.000502487
127,0.000850362
128,0.001159585
129,0.001662072
130,0.001971294
131,0.0020486
132,0.0020486
133,0.001739377
134,0.00177803
135,0.001739377
136,0.001468807
137,0.001314196
138,0.000966321
139,0.000657098
140,0.000618445
141,0.000579792
142,0.000425181
143,0.000309223
144,0.00027057
145,0.000347875
146,0.000347875
147,0.000347875
148,0.000347875
149,0.000347875
150,0.000502487
151,0.000850362
152,0.001159585
153,0.001662072
154,0.001971294
155,0.0020486
156,0.0020486
157,0.001739377
158,0.00177803
159,0.001739377
160,0.001468807
161,0.001314196
162,0.000966321
163,0.000657098
164,0.000618445
165,0.000579792
166,0.000425181
167,0.000309223
