Start_location_uid,End_location_uid,Speed_limit,Nbr_of_lanes
20601,20602,40,3
20601,20603,40,3
20601,20604,40,3
20601,20607,40,3
20601,20902,40,3
20601,21003,40,3
20602,20607,40,3
20602,20902,40,3
20602,20901,40,3
20603,20604,40,3
20604,20605,40,3
20604,20606,40,3
20604,20607,40,3
20605,20606,40,3
20606,20607,40,3
20606,20701,40,3
20607,20701,40,3
20607,20901,40,3
20701,20702,40,3
20701,20703,40,3
20701,20901,40,3
20702,20703,40,3
20702,20901,40,3
20702,21102,40,3
20702,20903,40,3
20703,21104,40,3
20703,21102,40,3
20801,20802,40,3
20801,20803,40,3
20801,20605,40,3
20802,20803,40,3
20802,20804,40,3
20802,21204,40,3
20802,21205,40,3
20802,20605,40,3
20802,20606,40,3
20803,21204,40,3
20804,21205,40,3
20804,20606,40,3
20804,20701,40,3
20901,20904,40,3
20901,20903,40,3
20902,21003,40,3
20902,20901,40,3
20902,20904,40,3
20904,20903,40,3
21001,21301,40,3
21001,21303,40,3
21001,21005,40,3
21001,20601,40,3
21001,20603,40,3
21001,21003,40,3
21002,21004,40,3
21002,20904,40,3
21003,20904,40,3
21005,20902,40,3
21005,21003,40,3
21005,21002,40,3
21005,21004,40,3
21005,20904,40,3
21101,21103,40,3
21101,21105,40,3
21102,21103,40,3
21102,21105,40,3
21102,20903,40,3
21103,21105,40,3
21104,21101,40,3
21104,21102,40,3
21104,21103,40,3
21105,20903,40,3
21201,21105,40,3
21202,21101,40,3
21202,21201,40,3
21202,21105,40,3
21203,21204,40,3
21203,21202,40,3
21203,21201,40,3
21204,21205,40,3
21204,21202,40,3
21204,21101,40,3
21205,20701,40,3
21205,20703,40,3
21205,21104,40,3
21205,21101,40,3
21301,21303,40,3
21301,21005,40,3
21301,21004,40,3
21302,21305,40,3
21302,21301,40,3
21302,21303,40,3
21302,20604,40,3
21302,20605,40,3
21303,20603,40,3
21303,20604,40,3
21303,20605,40,3
21304,21305,40,3
21304,21301,40,3
21304,21002,40,3
21304,21004,40,3
21305,21301,40,3
21401,21203,40,3
21401,20803,40,3
21401,21204,40,3
21402,21401,40,3
21402,21203,40,3
