#Hour,Perc10Spring,Perc50Spring,Perc90Spring,Perc10Summer,Perc50Summer,Perc90Summer,Perc10Autumn,Perc50Autumn,Perc90Autumn,Perc10Winter,Perc50Winter,Perc90Winter
0,0.164,0.485,0.858,0.176,0.511,0.9,0.17,0.497,0.854,0.152,0.543,1.002
1,0.158,0.452,0.748,0.17,0.471,0.784,0.164,0.459,0.748,0.146,0.483,0.838
2,0.154,0.419,0.694,0.166,0.441,0.726,0.162,0.429,0.698,0.142,0.443,0.758
3,0.152,0.397,0.672,0.164,0.416,0.698,0.16,0.399,0.664,0.14,0.42,0.73
4,0.152,0.393,0.684,0.164,0.409,0.696,0.16,0.392,0.668,0.14,0.42,0.746
5,0.158,0.45,0.824,0.17,0.441,0.786,0.164,0.438,0.778,0.144,0.486,0.902
6,0.174,0.577,1.128,0.182,0.513,0.924,0.176,0.555,1.074,0.162,0.658,1.334
7,0.184,0.642,1.254,0.186,0.55,1.01,0.19,0.648,1.28,0.18,0.84,1.7
8,0.182,0.621,1.214,0.186,0.574,1.078,0.188,0.644,1.266,0.178,0.847,1.704
9,0.178,0.597,1.188,0.186,0.588,1.142,0.186,0.611,1.202,0.168,0.769,1.57
10,0.178,0.58,1.125,0.188,0.624,1.228,0.184,0.597,1.16,0.164,0.71,1.424
11,0.178,0.58,1.118,0.19,0.664,1.324,0.186,0.597,1.154,0.164,0.668,1.34
12,0.18,0.58,1.104,0.192,0.707,1.422,0.186,0.609,1.172,0.164,0.658,1.314
13,0.18,0.579,1.102,0.192,0.74,1.5,0.186,0.618,1.182,0.164,0.653,1.306
14,0.18,0.579,1.09,0.192,0.775,1.588,0.184,0.625,1.202,0.162,0.652,1.31
15,0.182,0.61,1.156,0.196,0.827,1.7,0.186,0.653,1.268,0.164,0.675,1.35
16,0.194,0.688,1.364,0.206,0.904,1.934,0.2,0.741,1.49,0.178,0.803,1.646
17,0.214,0.817,1.67,0.22,0.981,2.078,0.23,0.907,1.856,0.22,1.088,2.236
18,0.24,0.933,1.844,0.232,1.001,2.058,0.278,1.035,2.053,0.288,1.282,2.484
19,0.27,0.978,1.852,0.246,0.976,1.978,0.304,1.028,1.956,0.336,1.29,2.396
20,0.286,0.964,1.764,0.26,0.943,1.824,0.31,0.982,1.806,0.352,1.235,2.216
21,0.258,0.884,1.606,0.248,0.871,1.646,0.278,0.896,1.634,0.316,1.13,2.026
22,0.208,0.725,1.378,0.216,0.739,1.406,0.222,0.743,1.384,0.22,0.912,1.742
23,0.176,0.572,1.082,0.19,0.599,1.108,0.186,0.587,1.084,0.172,0.684,1.346
