#StatisticalArea,1PHHDevSpring,2PHHDevSpring,3PHHDevSpring,4PHHDevSpring,5PHHDevSpring,1PHHDevSummer,2PHHDevSummer,3PHHDevSummer,4PHHDevSummer,5PHHDevSummer,1PHHDevAutumn,2PHHDevAutumn,3PHHDevAutumn,4PHHDevAutumn,5PHHDevAutumn,1PHHDevWinter,2PHHDevWinter,3PHHDevWinter,4PHHDevWinter,5PHHDevWinter
201,1.07545321,1.109563062,1.162592944,1.077226966,1.247984459,0.976648311,0.972085624,1.062001633,0.98473807,1.101995846,1.02207464,1.061342206,1.096628785,1.007335884,1.218322907,1.10290697,1.126717674,1.140092178,1.072935477,1.241446861
202,0.983229007,0.994215066,1.000894277,0.992855321,1.002157438,0.984627056,0.986318981,0.992471342,0.98816573,0.994407626,0.987571176,0.994310067,0.997514792,0.99195142,1.00422485,0.975433437,0.989388813,0.997880933,0.991398237,1.000455955
203,0.957197982,0.966877238,0.963106857,0.967151739,0.947180149,0.980637683,0.984034615,0.970946375,0.980167857,0.966727162,0.975507028,0.977552032,0.972167109,0.982388105,0.957687292,0.938905934,0.955374162,0.962568343,0.965270282,0.945666915
204,1.051653416,1.050301706,1.077098907,1.066626054,1.103603626,1.013799344,1.01197417,1.054258839,1.035724508,1.059038899,1.025935167,1.032190208,1.055647501,1.033253854,1.085159732,1.072902235,1.064616236,1.075832873,1.069782103,1.104979695
205,0.979758204,0.994038693,1.001051725,0.988063128,1.004382709,0.979889676,0.981750249,0.988290233,0.981167591,0.992449103,0.984434497,0.993437252,0.995845184,0.987100463,1.007259908,0.970215222,0.987977417,0.996319492,0.985767212,1.00187117
206,0.957197982,0.966877238,0.963106857,0.967151739,0.947180149,0.980637683,0.984034615,0.970946375,0.980167857,0.966727162,0.975507028,0.977552032,0.972167109,0.982388105,0.957687292,0.938905934,0.955374162,0.962568343,0.965270282,0.945666915
207,0.957197982,0.966877238,0.963106857,0.967151739,0.947180149,0.980637683,0.984034615,0.970946375,0.980167857,0.966727162,0.975507028,0.977552032,0.972167109,0.982388105,0.957687292,0.938905934,0.955374162,0.962568343,0.965270282,0.945666915
208,0.957197982,0.966877238,0.963106857,0.967151739,0.947180149,0.980637683,0.984034615,0.970946375,0.980167857,0.966727162,0.975507028,0.977552032,0.972167109,0.982388105,0.957687292,0.938905934,0.955374162,0.962568343,0.965270282,0.945666915
209,0.962900016,0.973579415,0.972396265,0.972234368,0.96105537,0.980388348,0.983331733,0.975127483,0.980453496,0.972994437,0.977678574,0.981392415,0.978086628,0.983496895,0.969827524,0.946546891,0.963277981,0.970855992,0.970338204,0.959313632
210,0.980501947,0.995096931,1.002468753,0.988789217,1.006477082,0.979889676,0.981574529,0.988909657,0.981167591,0.993493649,0.98467578,0.993960941,0.996755879,0.987239062,1.009030358,0.971333411,0.989106534,0.997640711,0.986555555,1.003993993
211,0.997360135,1.015203463,1.030494422,1.004327541,1.048757235,0.979391004,0.979993045,1.001762695,0.981738868,1.012426042,0.99119042,1.005831216,1.014362653,0.99084263,1.045703977,0.994442648,1.013241411,1.022623767,1.001646702,1.04564175
212,0.958437554,0.968288223,0.964996228,0.968168264,0.950059912,0.980637683,0.983858895,0.97187551,0.980310676,0.968032844,0.975989594,0.978250283,0.97338137,0.982526703,0.960216507,0.940583217,0.956926698,0.964249895,0.966283866,0.948497345
213,0.963891674,0.974814027,0.974128188,0.973250894,0.963804234,0.980388348,0.983331733,0.976056619,0.980453496,0.974300119,0.97816114,0.982090666,0.979149106,0.983774092,0.972103818,0.948037809,0.964830517,0.972417433,0.971239168,0.962042975
214,0.957197982,0.966877238,0.963106857,0.967151739,0.947180149,0.980637683,0.984034615,0.970946375,0.980167857,0.966727162,0.975507028,0.977552032,0.972167109,0.982388105,0.957687292,0.938905934,0.955374162,0.962568343,0.965270282,0.945666915
215,1.382123478,1.235669816,1.318780945,1.456100673,1.359509816,1.256901745,1.240410777,1.382863018,1.410624789,1.327095472,1.249845759,1.180743204,1.291517554,1.320014716,1.250949781,1.553164361,1.351129687,1.372746892,1.500893366,1.394997694
216,1.4934371,1.29598941,1.397032393,1.587958598,1.439881377,1.341177244,1.319836428,1.494049541,1.540304581,1.416143003,1.325849893,1.229969931,1.36983734,1.418558444,1.301281161,1.714742655,1.445552101,1.470757345,1.647074772,1.48739102
217,0.973560341,0.986631023,0.990660184,0.982254408,0.988674913,0.980139012,0.982277411,0.983489701,0.980881953,0.985528987,0.982021668,0.989073181,0.989470318,0.985853074,0.993728607,0.961642441,0.97908562,0.987191067,0.980136187,0.986505978
