time_step,cur_activity,charge_received,charge_received_pv,charge_received_grid,charge_received_work,charge_received_public,soc,mu,work_charge_instruction,home_charge_instruction,emergency_charge_instruction,soc_abs
10075,2,0,0,0,0,0,0.751,12.259,0,0,0,57.827
10080,2,0,0,0,0,0,0.751,12.259,0,0,0,57.827
10085,2,0,0,0,0,0,0.751,12.26,0,0,0,57.827
10090,2,0,0,0,0,0,0.751,12.261,0,0,0,57.827
10095,2,0,0,0,0,0,0.751,12.263,0,0,0,57.827
10100,2,0,0,0,0,0,0.751,12.264,0,0,0,57.827
10105,2,0,0,0,0,0,0.751,12.265,0,0,0,57.827
10110,2,0,0,0,0,0,0.751,12.266,0,0,0,57.827
10115,2,0,0,0,0,0,0.751,12.267,0,0,0,57.827
10120,2,0,0,0,0,0,0.751,12.268,0,0,0,57.827
10125,2,0,0,0,0,0,0.751,12.27,0,0,0,57.827
10130,2,0,0,0,0,0,0.751,12.271,0,0,0,57.827
10135,2,0,0,0,0,0,0.751,12.272,0,0,0,57.827
10140,0,0,0,0,0,0,0.743,12.273,0,0,0,57.211
10145,0,0,0,0,0,0,0.736,12.274,0,0,0,56.672
10150,0,0,0,0,0,0,0.729,12.275,0,0,0,56.133
10155,0,0,0,0,0,0,0.721,12.276,0,0,0,55.517
10160,0,0,0,0,0,0,0.714,12.277,0,0,0,54.978
10165,0,0,0,0,0,0,0.706,12.278,0,0,0,54.362
10170,0,0,0,0,0,0,0.699,12.279,0,0,0,53.823
10175,0,0,0,0,0,0,0.692,12.28,0,0,0,53.284
10180,0,0,0,0,0,0,0.684,12.281,0,0,0,52.668
10185,0,0,0,0,0,0,0.677,12.282,0,0,0,52.129
10190,0,0,0,0,0,0,0.669,12.283,0,0,0,51.513
10195,0,0,0,0,0,0,0.662,12.283,0,0,0,50.974
10200,0,0,0,0,0,0,0.655,12.284,0,0,0,50.435
10205,0,0,0,0,0,0,0.647,12.286,0,0,0,49.819
10210,0,0,0,0,0,0,0.64,12.287,0,0,0,49.28
10215,0,0,0,0,0,0,0.632,12.288,0,0,0,48.664
10220,0,0,0,0,0,0,0.625,12.289,0,0,0,48.125
10225,0,0,0,0,0,0,0.618,12.29,0,0,0,47.586
10230,0,0,0,0,0,0,0.61,12.291,0,0,0,46.97
10235,0,0,0,0,0,0,0.603,12.293,0,0,0,46.431
10240,0,0,0,0,0,0,0.595,12.294,0,0,0,45.815
10245,0,0,0,0,0,0,0.588,12.295,0,0,0,45.276
10250,0,0,0,0,0,0,0.581,12.296,0,0,0,44.737
10255,0,0,0,0,0,0,0.573,12.297,0,0,0,44.121
10260,0,0,0,0,0,0,0.566,12.298,0,0,0,43.582
10265,0,0,0,0,0,0,0.558,12.3,0,0,0,42.966
10270,0,0,0,0,0,0,0.551,12.301,0,0,0,42.427
10275,0,0,0,0,0,0,0.544,12.302,0,0,0,41.888
10280,0,0,0,0,0,0,0.536,12.303,0,0,0,41.272
10285,0,0,0,0,0,0,0.529,12.304,0,0,0,40.733
10290,0,0,0,0,0,0,0.521,12.305,0,0,0,40.117
